,Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),reactions_sum,reactions_groupavg,score
31,Senator Bob Menendez,senatormenendez,349744811357,53978,161208,2021-04-27 21:57:50 CEST,Native Video,"1,475",851,300,48,237,0,17,1,9,12,owned,8792,9547,0,00:00:21,https://www.facebook.com/349744811357/posts/10159201889591358,"How many birthdays does a guy get to have before I can stop calling him “Junior” Senator? Asking for a friend… In all seriousness, Cory Booker you’re an incredible friend not just to me, but to the 9 million New Jerseyans you go to bat for every single day. Happy birthday!",https://www.facebook.com/senatormenendez/videos/776815759634226/,,,,,,,6.02,1475,874.4473684210526,1.6867796202112613
32,U.S. Senator Bernie Sanders,senatorsanders,9124187907,7315903,7373955,2021-04-21 16:36:51 CEST,Link,"87,991",64033,3902,5180,13570,101,299,23,117,766,,0,0,0,,https://www.facebook.com/9124187907/posts/10159979733492908,"In the wealthiest country in the history of the world, a higher education should be a right for all, not a privilege for the few. If we are going to have the kind of standard of living that the American people deserve, we need to have the best educated workforce in the world. It is absolutely unacceptable that hundreds of thousands of bright young Americans do not get a higher education each year, not because they are unqualified, but because their family does not have enough money. In the 21st century, a free public education system that goes from kindergarten through high school is no longer good enough. The time is long overdue to make public colleges and universities tuition-free and debt-free for working families.",https://www.huffpost.com/entry/bernie-sanders-tax-wall-street-free-college_n_607f8f06e4b03fc5b215fea6?ncid=tweetlnkushpmg00000067,,,Bernie Sanders Wants To Tax Wall Street To Pay For Free College,The senator and Rep. Pramila Jayapal are introducing legislation modeled after President Biden’s campaign proposals.,,,5.83,87991,43596.68421052631,2.0182956936609133
33,Senator Bob Menendez,senatormenendez,349744811357,53593,160875,2021-04-12 21:06:14 CEST,Photo,"2,757",554,1677,83,113,12,190,7,111,10,,0,0,0,,https://www.facebook.com/349744811357/posts/10159167321101358,"In NJ, an estimated 1.3M borrowers hold $48.8B in student loan debt, with an average balance of more than $33,000. If borrowers like Jasmine Metellus or Roberto Cabanas were relieved of this burden, they could build good credit, buy their first home or open a small business. President Joe Biden needs to cancel up to $50K in student loan debt immediately! #CancelStudentDebt",https://www.facebook.com/senatormenendez/photos/a.10151945058116358/10159167320616358/?type=3,,STATE UNI UNIVE LAIR a ISH CARPE DEES 1908,Photos from Senator Bob Menendez's post,,,,5.76,2757,874.4473684210526,3.1528484155406424
34,Senator Maggie Hassan,SenatorHassan,523773000968844,23073,37002,2021-04-19 21:38:52 CEST,Link,"1,098",532,326,31,143,2,43,3,14,4,,0,0,0,,https://www.facebook.com/523773000968844/posts/4315075198505253,Climate change can’t be ignored — that’s why I’m glad to see the Interior Department take serious steps to revoke these backward policies and protect our environment.,https://www.reuters.com/business/environment/us-interior-dept-revokes-trump-policies-puts-climate-center-decisions-2021-04-16/,,,"U.S. Interior Dept revokes Trump policies, puts climate at center of decisions",The U.S. Interior Department on Friday sought to erase the Trump administration's pro-fossil fuels legacy from the nation's public lands by revoking a suite of policies that boosted drilling and mining and ordering that climate change be put at the forefront in future agency decisions.,,,5.69,1098,757.2758620689655,1.4499339738627568
35,Senator Chuck Schumer,senschumer,15771239406,429289,584926,2021-04-22 18:07:37 CEST,Status,"12,100",6817,2528,494,1648,29,153,21,360,50,,0,0,0,,https://www.facebook.com/15771239406/posts/10159605008829407,"The House just passed the bill to grant D.C. official statehood. This is about democracy. It’s about self-government. It’s about voting rights. I was proud to re-introduce this bill in the Senate, and we are working to make #DCStatehood a reality.",,,,,,,,5.6,12100,5172.55223880597,2.3392707200175438
36,Senator Jeanne Shaheen,SenatorShaheen,127503767282103,30334,47693,2021-04-24 00:34:45 CEST,Photo,"1,129",842,120,19,135,1,4,0,1,7,,0,0,0,,https://www.facebook.com/127503767282103/posts/4319558134743291,"After a long day, there's nothing better than swinging by Northwood Meadows State Park for some fresh air and a brisk walk. New Hampshire's open spaces are so beautiful – let's make sure we protect them for generations to come. –J.S. 🌎",https://www.facebook.com/SenatorShaheen/photos/a.760260524006421/4319557918076646/?type=3,,,Photos from Senator Jeanne Shaheen's post,,,,5.48,1129,372.77777777777777,3.028614008941878
37,Senator Maggie Hassan,SenatorHassan,523773000968844,23066,37009,2021-04-10 23:55:54 CEST,Status,"1,920",999,610,53,147,3,90,1,10,7,,0,0,0,,https://www.facebook.com/523773000968844/posts/4288563461156427,Infrastructure isn't a partisan issue — so let's bridge the divide and pave the way to a better future.,,,,,,,,5.36,1920,757.2758620689655,2.5354036701425255
38,Senator Maggie Hassan,SenatorHassan,523773000968844,23073,37021,2021-04-09 15:15:01 CEST,Status,"1,890",1244,345,53,194,0,8,0,3,43,,0,0,0,,https://www.facebook.com/523773000968844/posts/4284240164922090,The POW/MIA flag is back atop the White House in time for National Former POW Recognition Day. Glad the President heeded my calls.,,,,,,,,5.28,1890,757.2758620689655,2.4957879877965485
39,Sen. Jacky Rosen,SenJackyRosen,766794650136727,7957,16652,2021-04-29 04:13:09 CEST,Photo,795,368,237,14,78,0,78,2,11,7,,0,0,0,,https://www.facebook.com/766794650136727/posts/2041456339337212,,https://www.facebook.com/SenJackyRosen/photos/a.800991700050355/2041456312670548/?type=3,,Senator Jacky Rosen @SenJackyRosen President Biden just laid out his positive vision to build back better. I look forward to working with him and my colleagues in Congress to move our country forward.,,,,,5.23,795,435.05555555555554,1.827352828502107
40,Senator John Hickenlooper,SenatorHick,101702821881752,4169,5792,2021-04-29 03:10:22 CEST,Photo,918,725,50,7,121,0,12,0,0,3,,0,0,0,,https://www.facebook.com/101702821881752/posts/163228072395893,"Honored to attend tonight’s #JointAddress, even if they did seat me up in the rafters!",https://www.facebook.com/SenatorHick/photos/a.102357311816303/163227759062591/?type=3,,,,,,,5.22,918,380.0625,2.415392205229403
